"""","総 数","非課税地積","評価総地積","田_非課税地積","田_評価総地積","畑_非課税地積","畑_評価総地積","宅地_非課税地積","宅地_評価総地積","鉱泉地_非課税地積","鉱泉地_評価総地積"
"県  計","3.657637282E9","1.365082807E9","2.292554475E9","6233910.0","1.40730975E8","5669067.0","2.43329245E8","1.0541554E7","1.50801133E8","1757.0","1921.0"
"   和歌山市","1.72825345E8","4.1161385E7","1.3166396E8","328829.0","2.0424595E7","120517.0","7093463.0","1172921.0","4.5144255E7","-","-"
"   海 南 市","8.2876014E7","8890934.0","7.398508E7","122913.0","6149788.0","198734.0","2.1242498E7","432186.0","1.0515053E7","-","-"
"   橋 本 市","1.10888995E8","2.7083676E7","8.3805319E7","472781.0","9719778.0","266400.0","9174074.0","761464.0","9707205.0","-","-"
"   有 田 市","2.8286873E7","6946331.0","2.1340542E7","129283.0","1113646.0","131554.0","1.1076008E7","324358.0","5748304.0","-","-"
"   御 坊 市","3.7627734E7","9549754.0","2.807798E7","212517.0","6251869.0","59276.0","4224556.0","524103.0","4701268.0","-","-"
"   田 辺 市","6.87025465E8","3.12646853E8","3.74378612E8","395282.0","9705159.0","514692.0","3.6020369E7","1218173.0","1.1810824E7","50.0","18.0"
"   新 宮 市","2.24426384E8","1.1405241E8","1.10373974E8","337920.0","3179389.0","159103.0","1438824.0","736656.0","3878340.0","8.0","80.0"
"   紀の川市","1.95069585E8","6.6539353E7","1.28530232E8","876942.0","1.8582652E7","1185062.0","3.3562854E7","874356.0","1.1671014E7","-","-"
"   岩 出 市","3.2889393E7","1.2687088E7","2.0202305E7","347416.0","5845277.0","50978.0","594488.0","343491.0","5580988.0","-","-"
"   紀美野町","1.02571933E8","2.8886021E7","7.3685912E7","231984.0","3731980.0","239598.0","6240234.0","194928.0","1992766.0","-","-"
"   かつらぎ町","1.5173E8","5.5876452E7","9.5853548E7","1317.0","3282060.0","4509.0","2.0700893E7","98898.0","4043708.0","140.0","-"
"   九度山町","4.412E7","1.386958E7","3.025042E7","40614.0","1322588.0","74162.0","3494126.0","65204.0","667970.0","-","-"
"   高 野 町","1.38076266E8","7.0302407E7","6.7773859E7","24546.0","1143927.0","37775.0","1420446.0","137628.0","531147.0","-","-"
"   湯 浅 町","1.3121064E7","2879703.0","1.0241361E7","31245.0","701826.0","125070.0","3940595.0","206854.0","1628633.0","56.0","-"
"   広 川 町","3.7641561E7","7781671.0","2.985989E7","42449.0","1709911.0","42089.0","4745688.0","136462.0","1318785.0","-","-"
"   有田川町","1.61175205E8","6.7832888E7","9.3342317E7","275916.0","4102515.0","465344.0","2.381291E7","411190.0","5282849.0","1322.0","-"
"   美 浜 町","1.005236E7","4374243.0","5678117.0","45103.0","1957443.0","10265.0","521919.0","142957.0","1386521.0","-","-"
"   日 高 町","4.642E7","1.7194138E7","2.9225862E7","19792.0","5576233.0","17753.0","1766183.0","122843.0","1668041.0","-","-"
"   由 良 町","2.9152751E7","3758305.0","2.5394446E7","26943.0","1452560.0","61568.0","3184856.0","181682.0","1332325.0","-","-"
"   印 南 町","8.8800155E7","2.7051017E7","6.1749138E7","621368.0","5940786.0","294693.0","6455963.0","178977.0","1764405.0","-","-"
"   みなべ町","1.13140676E8","2.2899451E7","9.0241225E7","291303.0","4104863.0","366507.0","1.7885644E7","192687.0","2544783.0","-","-"
"   日高川町","2.48687041E8","1.54247E8","9.4440041E7","53089.0","4904467.0","148246.0","8649609.0","151446.0","2130109.0","45.0","-"
"   白 浜 町","1.50287033E8","5.7959397E7","9.2327636E7","263257.0","4870609.0","186585.0","3979505.0","483251.0","4814655.0","17.0","1151.0"
"   上富田町","4.383693E7","1.0312454E7","3.3524476E7","236256.0","2682033.0","172237.0","3354764.0","347491.0","2264447.0","-","65.0"
"   すさみ町","1.47118676E8","4.2653387E7","1.04465289E8","141963.0","2532844.0","113701.0","1135318.0","161217.0","1161647.0","-","-"
"   那智勝浦町","1.67689908E8","4.4373008E7","1.233169E8","215518.0","3978062.0","63775.0","1849276.0","246346.0","2820118.0","77.0","553.0"
"   太 地 町","5960000.0","2635093.0","3324907.0","5207.0","108779.0","15791.0","474309.0","126677.0","562755.0","12.0","40.0"
"   古座川町","2.62661247E8","8.6387655E7","1.76273592E8","189492.0","2371756.0","103866.0","1037086.0","104293.0","685131.0","-","-"
"   北 山 村","2.4203855E7","1.3252631E7","1.0951224E7","22292.0","59369.0","50470.0","118249.0","23344.0","117949.0","-","-"
"   串 本 町","9.9274833E7","3.0998522E7","6.8276311E7","230373.0","3224211.0","388747.0","4134538.0","439471.0","3325138.0","30.0","14.0"
